id;name;enabled;description;created_by;created_date;updated_by;updated_date
1;everlasting finally;false;scarcely near;battle loudly who;2024-12-08T20:41:54;subexpression nor;2024-12-08T23:42:02
2;proceed speedily;false;coop though tenant;oblong SUV wring;2024-12-09T08:22:04;voluminous interior transom;2024-12-09T10:58:05
3;eek;false;hmph kick dearly;any though;2024-12-09T00:18:02;little carelessly;2024-12-09T04:48:33
4;rim;true;helpfully;zowie;2024-12-08T17:06:28;atrium accept courtroom;2024-12-09T02:46:12
5;at palate;false;bare;er;2024-12-09T09:12:35;duh petty place;2024-12-08T19:35:12
6;bah rarely;true;joy;properly past;2024-12-08T18:06:42;incidentally lest;2024-12-09T07:54:44
7;overcharge hopelessly secret;true;foolishly denitrify;netsuke;2024-12-09T08:26:38;since;2024-12-09T08:08:54
8;hopeful drain truly;false;and ugh pace;vary urgently over;2024-12-09T05:47:37;serpentine handy lazily;2024-12-09T12:36:59
9;gah;true;utter tuber availability;past gloom unlike;2024-12-09T01:06:39;psst even secrecy;2024-12-08T18:28:44
10;as misguided;false;postbox yum;vista;2024-12-09T09:09:35;tensely oddly;2024-12-09T09:36:39
