id;uuid;device_uuid;type;manufacturer;model;os;app_version;inactive;created_by;created_date;last_modified_by;last_modified_date
1;6ee34a62-df84-4441-a0fd-bc61ccf3983f;yahoo;fund controvert finally;obscure;jealously;even afore;meh inwardly;false;whose enroll anti;2024-12-08T15:39:09;doubtfully;2024-12-09T07:20:31
2;bfe8750c-692b-456f-bf8f-b7313847b5be;happily surprise;furthermore informal;unwilling finally;reckon;dividend ah astride;gymnast consequently;false;likely eulogise;2024-12-08T19:23:35;charter;2024-12-09T00:22:23
3;7fd244d4-94e6-4817-9c99-1f1eef4f734e;boo till;saw mid;shred busily;present oof;bouncy;usually hydrolyse;true;wisely;2024-12-09T00:32:49;aha wry;2024-12-09T07:28:26
4;aff173fe-4c1a-48ee-986f-1cfdae70a6c4;selfishly sans;phew lobotomise;ick;kiddingly anti since;naturally velocity ha;inspection joyfully whoa;true;woot;2024-12-08T14:43:34;furthermore;2024-12-08T23:29:56
5;50e97639-5a52-4a5f-9065-67fceb570958;radiant anesthetize tensely;resource;tinted;curiously christen grounded;easy gah;overplay as;false;inasmuch remorseful;2024-12-09T01:57:03;after hence;2024-12-09T08:13:49
6;3643b950-7976-431b-b5a3-edceca1a45c4;plain whether sunbathe;till limply disadvantage;decision;meanwhile positively;unlucky hmph helpful;worth;true;bid merrily;2024-12-09T02:20:14;pulverize over astride;2024-12-09T00:43:47
7;4c215cd7-b376-40f3-aeb8-06beaf08a145;alert cooperative repentant;next sonata;stay that that;equal quaver;dish;linseed consequently;true;futon;2024-12-09T07:14:27;carouse fabricate offensively;2024-12-08T21:44:04
8;518da7ef-2715-462d-a7cd-794f47e8a565;quarrelsomely consequently;toothbrush um;within wry;through;fooey kookily horn;although along matter;true;out rudely rotating;2024-12-09T06:58:08;instead deserted athwart;2024-12-09T03:03:57
9;5a6cb4e9-f633-4ea7-aa68-5546caeb13bd;nocturnal mostly;marathon;along while;satirize zowie;criminal avow versus;hmph kindheartedly appropriate;true;yippee recent outside;2024-12-08T16:07:30;when confound;2024-12-08T18:33:48
10;cae7f135-8418-4179-b503-7f3ae5bb5d07;knowingly soon;probate;save probe;whether whose;instantly feather;nicely oof investigate;false;phew nice;2024-12-09T10:06:29;finally;2024-12-09T03:54:59
